Site Name ,WLR104A
Site Number ,104
Logger ,Capacitive Water Level
Logger Serial Number ,1177


Scan No ,Date and Time,       Capacitive Water Level,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,22/02/2018 , 12:55:00,2142,17.03
2,22/02/2018 , 13:00:00,2142,17.03
3,22/02/2018 , 13:05:00,2142,17.03
4,22/02/2018 , 13:10:00,2142,17.03
5,22/02/2018 , 13:15:00,2143,17.12
6,22/02/2018 , 13:20:00,2143,17.12
7,22/02/2018 , 13:25:00,2142,17.03
8,22/02/2018 , 13:30:00,2141,16.95
9,22/02/2018 , 13:35:00,2142,17.03
10,22/02/2018 , 13:40:00,2142,17.03
11,22/02/2018 , 13:45:00,2143,17.12
12,22/02/2018 , 13:50:00,2142,17.03
13,22/02/2018 , 13:55:00,2143,17.12
14,22/02/2018 , 14:00:00,2142,17.03
15,22/02/2018 , 14:05:00,2142,17.03
16,22/02/2018 , 14:10:00,2143,17.12
17,22/02/2018 , 14:15:00,2143,17.12
18,22/02/2018 , 14:20:00,2143,17.12
19,22/02/2018 , 14:25:00,2143,17.12
20,22/02/2018 , 14:30:00,2142,17.03
21,22/02/2018 , 14:35:00,2143,17.12
22,22/02/2018 , 14:40:00,2143,17.12
23,22/02/2018 , 14:45:00,2143,17.12
24,22/02/2018 , 14:50:00,2143,17.12
25,22/02/2018 , 14:55:00,2143,17.12
26,22/02/2018 , 15:00:00,2143,17.12
27,22/02/2018 , 15:05:00,2143,17.12
28,22/02/2018 , 15:10:00,2143,17.12
29,22/02/2018 , 15:15:00,2144,17.2
30,22/02/2018 , 15:20:00,2143,17.12
31,22/02/2018 , 15:25:00,2144,17.2
32,22/02/2018 , 15:30:00,2144,17.2
33,22/02/2018 , 15:35:00,2143,17.12
34,22/02/2018 , 15:40:00,2144,17.2
35,22/02/2018 , 15:45:00,2143,17.12
36,22/02/2018 , 15:50:00,2143,17.12
37,22/02/2018 , 15:55:00,2143,17.12
38,22/02/2018 , 16:00:00,2144,17.2
39,22/02/2018 , 16:05:00,2144,17.2
40,22/02/2018 , 16:10:00,2143,17.12
41,22/02/2018 , 16:15:00,2144,17.2
42,22/02/2018 , 16:20:00,2143,17.12
43,22/02/2018 , 16:25:00,2143,17.12
44,22/02/2018 , 16:30:00,2143,17.12
45,22/02/2018 , 16:35:00,2143,17.12
46,22/02/2018 , 16:40:00,2143,17.12
47,22/02/2018 , 16:45:00,2142,17.03
48,22/02/2018 , 16:50:00,2142,17.03
49,22/02/2018 , 16:55:00,2143,17.12
50,22/02/2018 , 17:00:00,2143,17.12
51,22/02/2018 , 17:05:00,2143,17.12
52,22/02/2018 , 17:10:00,2142,17.03
53,22/02/2018 , 17:15:00,2142,17.03
54,22/02/2018 , 17:20:00,2142,17.03
55,22/02/2018 , 17:25:00,2142,17.03
56,22/02/2018 , 17:30:00,2142,17.03
57,22/02/2018 , 17:35:00,2142,17.03
58,22/02/2018 , 17:40:00,2141,16.95
59,22/02/2018 , 17:45:00,2141,16.95
60,22/02/2018 , 17:50:00,2141,16.95
61,22/02/2018 , 17:55:00,2140,16.86
62,22/02/2018 , 18:00:00,2141,16.95
63,22/02/2018 , 18:05:00,2140,16.86
64,22/02/2018 , 18:10:00,2140,16.86
65,22/02/2018 , 18:15:00,2141,16.95
66,22/02/2018 , 18:20:00,2140,16.86
67,22/02/2018 , 18:25:00,2141,16.95
68,22/02/2018 , 18:30:00,2141,16.95
69,22/02/2018 , 18:35:00,2140,16.86
70,22/02/2018 , 18:40:00,2143,17.12
71,22/02/2018 , 18:45:00,2140,16.86
72,22/02/2018 , 18:50:00,2140,16.86
73,22/02/2018 , 18:55:00,2140,16.86
74,22/02/2018 , 19:00:00,2140,16.86
75,22/02/2018 , 19:05:00,2140,16.86
76,22/02/2018 , 19:10:00,2140,16.86
77,22/02/2018 , 19:15:00,2140,16.86
78,22/02/2018 , 19:20:00,2140,16.86
79,22/02/2018 , 19:25:00,2140,16.86
80,22/02/2018 , 19:30:00,2140,16.86
81,22/02/2018 , 19:35:00,2140,16.86
82,22/02/2018 , 19:40:00,2140,16.86
83,22/02/2018 , 19:45:00,2141,16.95
84,22/02/2018 , 19:50:00,2141,16.95
85,22/02/2018 , 19:55:00,2141,16.95
86,22/02/2018 , 20:00:00,2141,16.95
87,22/02/2018 , 20:05:00,2140,16.86
88,22/02/2018 , 20:10:00,2141,16.95
89,22/02/2018 , 20:15:00,2141,16.95
90,22/02/2018 , 20:20:00,2141,16.95
91,22/02/2018 , 20:25:00,2141,16.95
92,22/02/2018 , 20:30:00,2141,16.95
93,22/02/2018 , 20:35:00,2141,16.95
94,22/02/2018 , 20:40:00,2141,16.95
95,22/02/2018 , 20:45:00,2142,17.03
96,22/02/2018 , 20:50:00,2142,17.03
97,22/02/2018 , 20:55:00,2142,17.03
98,22/02/2018 , 21:00:00,2142,17.03
