Site Name ,WLR119
Site Number ,119
Logger ,Capacitive Water Level
Logger Serial Number ,40024


Scan No ,Date and Time,       Capacitive Water Level,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,

1,21/02/2018 , 12:30:00,726,726
2,21/02/2018 , 12:35:00,725,725
3,21/02/2018 , 12:40:00,728,728
4,21/02/2018 , 12:45:00,726,726
5,21/02/2018 , 12:50:00,726,726
6,21/02/2018 , 12:55:00,726,726
7,21/02/2018 , 13:00:00,726,726
8,21/02/2018 , 13:05:00,726,726
9,21/02/2018 , 13:10:00,726,726
10,21/02/2018 , 13:15:00,727,727
11,21/02/2018 , 13:20:00,726,726
12,21/02/2018 , 13:25:00,726,726
13,21/02/2018 , 13:30:00,726,726
14,21/02/2018 , 13:35:00,726,726
15,21/02/2018 , 13:40:00,726,726
16,21/02/2018 , 13:45:00,726,726
17,21/02/2018 , 13:50:00,726,726
18,21/02/2018 , 13:55:00,726,726
19,21/02/2018 , 14:00:00,727,727
20,21/02/2018 , 14:05:00,727,727
21,21/02/2018 , 14:10:00,728,728
22,21/02/2018 , 14:15:00,728,728
23,21/02/2018 , 14:20:00,728,728
24,21/02/2018 , 14:25:00,728,728
25,21/02/2018 , 14:30:00,727,727
26,21/02/2018 , 14:35:00,727,727
27,21/02/2018 , 14:40:00,727,727
28,21/02/2018 , 14:45:00,727,727
29,21/02/2018 , 14:50:00,727,727
30,21/02/2018 , 14:55:00,728,728
31,21/02/2018 , 15:00:00,728,728
32,21/02/2018 , 15:05:00,728,728
33,21/02/2018 , 15:10:00,728,728
34,21/02/2018 , 15:15:00,727,727
35,21/02/2018 , 15:20:00,727,727
36,21/02/2018 , 15:25:00,727,727
37,21/02/2018 , 15:30:00,727,727
38,21/02/2018 , 15:35:00,727,727
39,21/02/2018 , 15:40:00,727,727
40,21/02/2018 , 15:45:00,727,727
41,21/02/2018 , 15:50:00,727,727
42,21/02/2018 , 15:55:00,727,727
43,21/02/2018 , 16:00:00,726,726
44,21/02/2018 , 16:05:00,726,726
45,21/02/2018 , 16:10:00,726,726
46,21/02/2018 , 16:15:00,726,726
47,21/02/2018 , 16:20:00,726,726
48,21/02/2018 , 16:25:00,726,726
49,21/02/2018 , 16:30:00,726,726
50,21/02/2018 , 16:35:00,725,725
51,21/02/2018 , 16:40:00,725,725
52,21/02/2018 , 16:45:00,725,725
53,21/02/2018 , 16:50:00,725,725
54,21/02/2018 , 16:55:00,726,726
55,21/02/2018 , 17:00:00,726,726
56,21/02/2018 , 17:05:00,725,725
57,21/02/2018 , 17:10:00,725,725
58,21/02/2018 , 17:15:00,726,726
59,21/02/2018 , 17:20:00,725,725
60,21/02/2018 , 17:25:00,725,725
61,21/02/2018 , 17:30:00,725,725
62,21/02/2018 , 17:35:00,725,725
63,21/02/2018 , 17:40:00,724,724
64,21/02/2018 , 17:45:00,724,724
65,21/02/2018 , 17:50:00,724,724
66,21/02/2018 , 17:55:00,724,724
67,21/02/2018 , 18:00:00,724,724
68,21/02/2018 , 18:05:00,724,724
69,21/02/2018 , 18:10:00,724,724
70,21/02/2018 , 18:15:00,724,724
71,21/02/2018 , 18:20:00,724,724
72,21/02/2018 , 18:25:00,724,724
73,21/02/2018 , 18:30:00,724,724
74,21/02/2018 , 18:35:00,724,724
75,21/02/2018 , 18:40:00,724,724
76,21/02/2018 , 18:45:00,724,724
77,21/02/2018 , 18:50:00,724,724
78,21/02/2018 , 18:55:00,724,724
79,21/02/2018 , 19:00:00,724,724
80,21/02/2018 , 19:05:00,724,724
81,21/02/2018 , 19:10:00,724,724
82,21/02/2018 , 19:15:00,724,724
83,21/02/2018 , 19:20:00,724,724
84,21/02/2018 , 19:25:00,724,724
85,21/02/2018 , 19:30:00,724,724
86,21/02/2018 , 19:35:00,724,724
87,21/02/2018 , 19:40:00,725,725
88,21/02/2018 , 19:45:00,725,725
89,21/02/2018 , 19:50:00,725,725
90,21/02/2018 , 19:55:00,725,725
91,21/02/2018 , 20:00:00,725,725
92,21/02/2018 , 20:05:00,725,725
93,21/02/2018 , 20:10:00,725,725
94,21/02/2018 , 20:15:00,725,725
95,21/02/2018 , 20:20:00,725,725
96,21/02/2018 , 20:25:00,725,725
97,21/02/2018 , 20:30:00,725,725
98,21/02/2018 , 20:35:00,725,725
99,21/02/2018 , 20:40:00,725,725
100,21/02/2018 , 20:45:00,725,725
101,21/02/2018 , 20:50:00,725,725
102,21/02/2018 , 20:55:00,725,725
103,21/02/2018 , 21:00:00,726,726
104,21/02/2018 , 21:05:00,726,726
105,21/02/2018 , 21:10:00,726,726
106,21/02/2018 , 21:15:00,726,726
107,21/02/2018 , 21:20:00,726,726
108,21/02/2018 , 21:25:00,726,726
109,21/02/2018 , 21:30:00,726,726
110,21/02/2018 , 21:35:00,726,726
111,21/02/2018 , 21:40:00,726,726
112,21/02/2018 , 21:45:00,726,726
