Site Name ,WLR113,,,
Site Number ,103,,,
Logger ,Capacitive Water Level,,,
Logger Serial Number ,41697,,,
,,,,
,,,,
Scan No ,Date and Time,       Capacitive Water Level,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,
,,,,
1,10/01/2016,14:20:00,NA,25.99
2,10/01/2016,14:25:00,NA,25.99
3,10/01/2016,14:30:00,NA,26.05
4,10/01/2016,14:35:00,NA,26.17
5,10/01/2016,14:40:00,NA,26.17
6,10/01/2016,14:45:00,NA,26.23
7,10/01/2016,14:50:00,NA,26.29
8,10/01/2016,14:55:00,NA,26.29
9,10/01/2016,15:00:00,NA,26.35
10,10/01/2016,15:05:00,NA,26.41
11,10/01/2016,15:10:00,NA,26.41
12,10/01/2016,15:15:00,NA,26.41
13,10/01/2016,15:20:00,NA,26.47
14,10/01/2016,15:25:00,NA,26.47
15,10/01/2016,15:30:00,NA,26.53
16,10/01/2016,15:35:00,NA,26.53
17,10/01/2016,15:40:00,NA,26.59
18,10/01/2016,15:45:00,NA,26.65
19,10/01/2016,15:50:00,NA,26.65
20,10/01/2016,15:55:00,NA,26.71
21,10/01/2016,16:00:00,NA,26.77
22,10/01/2016,16:05:00,NA,26.77
23,10/01/2016,16:10:00,NA,26.83
24,10/01/2016,16:15:00,NA,26.83
25,10/01/2016,16:20:00,NA,26.89
26,10/01/2016,16:25:00,NA,26.89
27,10/01/2016,16:30:00,NA,26.95
28,10/01/2016,16:35:00,NA,26.95
29,10/01/2016,16:40:00,NA,26.95
30,10/01/2016,16:45:00,NA,27.01
31,10/01/2016,16:50:00,NA,27.01
32,10/01/2016,16:55:00,NA,27.07
33,10/01/2016,17:00:00,NA,27.07
34,10/01/2016,17:05:00,NA,27.07
35,10/01/2016,17:10:00,NA,27.13
36,10/01/2016,17:15:00,NA,27.13
37,10/01/2016,17:20:00,NA,27.19
38,10/01/2016,17:25:00,NA,27.19
39,10/01/2016,17:30:00,NA,27.19
40,10/01/2016,17:35:00,NA,27.25
41,10/01/2016,17:40:00,NA,27.25
42,10/01/2016,17:45:00,NA,27.25
43,10/01/2016,17:50:00,NA,27.25
44,10/01/2016,17:55:00,NA,27.25
45,10/01/2016,18:00:00,NA,27.31
46,10/01/2016,18:05:00,NA,27.31
47,10/01/2016,18:10:00,NA,27.37
48,10/01/2016,18:15:00,NA,27.37
49,10/01/2016,18:20:00,NA,27.37
50,10/01/2016,18:25:00,NA,27.37
51,10/01/2016,18:30:00,NA,27.37
52,10/01/2016,18:35:00,NA,27.37
53,10/01/2016,18:40:00,NA,27.37
54,10/01/2016,18:45:00,NA,27.37
55,10/01/2016,18:50:00,NA,27.37
56,10/01/2016,18:55:00,NA,27.37
57,10/01/2016,19:00:00,NA,27.31
58,10/01/2016,19:05:00,NA,27.37
59,10/01/2016,19:10:00,NA,27.37
60,10/01/2016,19:15:00,NA,27.37
61,10/01/2016,19:20:00,NA,27.37
62,10/01/2016,19:25:00,NA,27.37
63,10/01/2016,19:30:00,NA,27.31
64,10/01/2016,19:35:00,NA,27.37
65,10/01/2016,19:40:00,NA,27.37
66,10/01/2016,19:45:00,NA,27.37
67,10/01/2016,19:50:00,NA,27.37
68,10/01/2016,19:55:00,NA,27.37
69,10/01/2016,20:00:00,NA,27.37
70,10/01/2016,20:05:00,NA,27.43
71,10/01/2016,20:10:00,NA,27.37
72,10/01/2016,20:15:00,NA,27.37
73,10/01/2016,20:20:00,NA,27.43
74,10/01/2016,20:25:00,NA,27.37
75,10/01/2016,20:30:00,NA,27.43
76,10/01/2016,20:35:00,NA,27.37
77,10/01/2016,20:40:00,NA,27.37
78,10/01/2016,20:45:00,NA,27.43
79,10/01/2016,20:50:00,NA,27.43
80,10/01/2016,20:55:00,NA,27.43
81,10/01/2016,21:00:00,NA,27.43
82,10/01/2016,21:05:00,NA,27.43
83,10/01/2016,21:10:00,NA,27.43
84,10/01/2016,21:15:00,NA,27.43
85,10/01/2016,21:20:00,NA,27.43
86,10/01/2016,21:25:00,NA,27.43
87,10/01/2016,21:30:00,NA,27.43
88,10/01/2016,21:35:00,NA,27.43
89,10/01/2016,21:40:00,NA,27.49
90,10/01/2016,21:45:00,NA,27.49
91,10/01/2016,21:50:00,NA,27.54
92,10/01/2016,21:55:00,NA,27.54
93,10/01/2016,22:00:00,NA,27.54
94,10/01/2016,22:05:00,NA,27.54
95,10/01/2016,22:10:00,NA,27.54
96,10/01/2016,22:15:00,NA,27.6
97,10/01/2016,22:20:00,NA,27.6
98,10/01/2016,22:25:00,NA,27.6
99,10/01/2016,22:30:00,NA,27.6
100,10/01/2016,22:35:00,NA,27.6
101,10/01/2016,22:40:00,NA,27.66
102,10/01/2016,22:45:00,NA,27.66
103,10/01/2016,22:50:00,NA,27.66
104,10/01/2016,22:55:00,NA,27.66
105,10/01/2016,23:00:00,NA,27.66
106,10/01/2016,23:05:00,NA,27.66
107,10/01/2016,23:10:00,NA,27.72
108,10/01/2016,23:15:00,NA,27.72
109,10/01/2016,23:20:00,NA,27.72
110,10/01/2016,23:25:00,NA,27.66
111,10/01/2016,23:30:00,NA,27.72
112,10/01/2016,23:35:00,NA,27.72
113,10/01/2016,23:40:00,NA,27.72
114,10/01/2016,23:45:00,NA,27.72
115,10/01/2016,23:50:00,NA,27.72
116,10/01/2016,23:55:00,NA,27.72
117,10/01/2016,24:00:00,NA,27.72
118,11/01/2016,00:05:00,NA,27.72
119,11/01/2016,00:10:00,NA,27.72
120,11/01/2016,00:15:00,NA,27.72
121,11/01/2016,00:20:00,NA,27.72
122,11/01/2016,00:25:00,NA,27.72
123,11/01/2016,00:30:00,NA,27.72
124,11/01/2016,00:35:00,NA,27.72
125,11/01/2016,00:40:00,NA,27.72
126,11/01/2016,00:45:00,NA,27.72
127,11/01/2016,00:50:00,NA,27.72
128,11/01/2016,00:55:00,NA,27.72
129,11/01/2016,01:00:00,NA,27.72
130,11/01/2016,01:05:00,NA,27.72
131,11/01/2016,01:10:00,NA,27.72
132,11/01/2016,01:15:00,NA,27.72
133,11/01/2016,01:20:00,NA,27.72
134,11/01/2016,01:25:00,NA,27.78
