"Site Name ","WLR113",,,
"Site Number ",103,,,
"Logger ","Capacitive Water Level",,,
"Logger Serial Number ",41697,,,
,,,,
,,,,
"Scan No ","Date and Time","       Capacitive Water Level","        ",
"        ","        ","RAW VALUE ","CALIBRATED VALUE",
,,,,
1,23/01/2016,10:55:00,"NA",31.68
2,23/01/2016,11:00:00,"NA",31.86
3,23/01/2016,11:05:00,"NA",31.98
4,23/01/2016,11:10:00,"NA",31.92
5,23/01/2016,11:15:00,"NA",32.1
6,23/01/2016,11:20:00,"NA",32.28
7,23/01/2016,11:25:00,"NA",32.4
8,23/01/2016,11:30:00,"NA",32.46
9,23/01/2016,11:35:00,"NA",32.69
10,23/01/2016,11:40:00,"NA",32.75
11,23/01/2016,11:45:00,"NA",32.87
12,23/01/2016,11:50:00,"NA",32.93
13,23/01/2016,11:55:00,"NA",33.05
14,23/01/2016,12:00:00,"NA",33.17
15,23/01/2016,12:05:00,"NA",33.23
16,23/01/2016,12:10:00,"NA",33.29
17,23/01/2016,12:15:00,"NA",33.35
18,23/01/2016,12:20:00,"NA",33.47
19,23/01/2016,12:25:00,"NA",33.53
20,23/01/2016,12:30:00,"NA",33.53
21,23/01/2016,12:35:00,"NA",33.59
22,23/01/2016,12:40:00,"NA",33.59
23,23/01/2016,12:45:00,"NA",33.65
24,23/01/2016,12:50:00,"NA",33.65
25,23/01/2016,12:55:00,"NA",33.59
26,23/01/2016,13:00:00,"NA",33.65
27,23/01/2016,13:05:00,"NA",33.65
28,23/01/2016,13:10:00,"NA",33.65
29,23/01/2016,13:15:00,"NA",33.65
30,23/01/2016,13:20:00,"NA",33.59
31,23/01/2016,13:25:00,"NA",33.53
32,23/01/2016,13:30:00,"NA",33.59
33,23/01/2016,13:35:00,"NA",33.53
34,23/01/2016,13:40:00,"NA",33.53
35,23/01/2016,13:45:00,"NA",33.53
36,23/01/2016,13:50:00,"NA",33.53
37,23/01/2016,13:55:00,"NA",33.53
38,23/01/2016,14:00:00,"NA",33.47
39,23/01/2016,14:05:00,"NA",33.41
40,23/01/2016,14:10:00,"NA",33.35
41,23/01/2016,14:15:00,"NA",33.41
42,23/01/2016,14:20:00,"NA",33.35
43,23/01/2016,14:25:00,"NA",33.29
44,23/01/2016,14:30:00,"NA",33.29
45,23/01/2016,14:35:00,"NA",33.29
46,23/01/2016,14:40:00,"NA",33.29
47,23/01/2016,14:45:00,"NA",33.23
48,23/01/2016,14:50:00,"NA",33.17
49,23/01/2016,14:55:00,"NA",33.17
50,23/01/2016,15:00:00,"NA",33.11
51,23/01/2016,15:05:00,"NA",33.11
52,23/01/2016,15:10:00,"NA",33.11
53,23/01/2016,15:15:00,"NA",33.05
54,23/01/2016,15:20:00,"NA",32.99
55,23/01/2016,15:25:00,"NA",32.93
56,23/01/2016,15:30:00,"NA",32.87
57,23/01/2016,15:35:00,"NA",32.81
58,23/01/2016,15:40:00,"NA",32.81
59,23/01/2016,15:45:00,"NA",32.75
60,23/01/2016,15:50:00,"NA",32.69
61,23/01/2016,15:55:00,"NA",32.69
62,23/01/2016,16:00:00,"NA",32.69
63,23/01/2016,16:05:00,"NA",32.69
64,23/01/2016,16:10:00,"NA",32.63
65,23/01/2016,16:15:00,"NA",32.63
66,23/01/2016,16:20:00,"NA",32.57
67,23/01/2016,16:25:00,"NA",32.57
68,23/01/2016,16:30:00,"NA",32.57
69,23/01/2016,16:35:00,"NA",32.51
70,23/01/2016,16:40:00,"NA",32.57
71,23/01/2016,16:45:00,"NA",32.57
72,23/01/2016,16:50:00,"NA",32.57
73,23/01/2016,16:55:00,"NA",32.57
74,23/01/2016,17:00:00,"NA",32.57
75,23/01/2016,17:05:00,"NA",32.51
76,23/01/2016,17:10:00,"NA",32.46
77,23/01/2016,17:15:00,"NA",32.4
78,23/01/2016,17:20:00,"NA",32.46
79,23/01/2016,17:25:00,"NA",32.4
80,23/01/2016,17:30:00,"NA",32.4
81,23/01/2016,17:35:00,"NA",32.4
82,23/01/2016,17:40:00,"NA",32.4
83,23/01/2016,17:45:00,"NA",32.34
84,23/01/2016,17:50:00,"NA",32.34
85,23/01/2016,17:55:00,"NA",32.34
86,23/01/2016,18:00:00,"NA",32.28
87,23/01/2016,18:05:00,"NA",32.28
88,23/01/2016,18:10:00,"NA",32.28
89,23/01/2016,18:15:00,"NA",32.22
90,23/01/2016,18:20:00,"NA",32.16
91,23/01/2016,18:25:00,"NA",32.16
92,23/01/2016,18:30:00,"NA",32.16
93,23/01/2016,18:35:00,"NA",32.1
94,23/01/2016,18:40:00,"NA",32.04
95,23/01/2016,18:45:00,"NA",32.04
96,23/01/2016,18:50:00,"NA",31.98
97,23/01/2016,18:55:00,"NA",31.98
98,23/01/2016,19:00:00,"NA",31.92
99,23/01/2016,19:05:00,"NA",31.92
100,23/01/2016,19:10:00,"NA",31.86
101,23/01/2016,19:15:00,"NA",31.8
102,23/01/2016,19:20:00,"NA",31.8
103,23/01/2016,19:25:00,"NA",31.74
104,23/01/2016,19:30:00,"NA",31.74
105,23/01/2016,19:35:00,"NA",31.68
106,23/01/2016,19:40:00,"NA",31.62
107,23/01/2016,19:45:00,"NA",31.62
108,23/01/2016,19:50:00,"NA",31.56
109,23/01/2016,19:55:00,"NA",31.56
110,23/01/2016,20:00:00,"NA",31.56
111,23/01/2016,20:05:00,"NA",31.5
112,23/01/2016,20:10:00,"NA",31.5
113,23/01/2016,20:15:00,"NA",31.44
114,23/01/2016,20:20:00,"NA",31.44
115,23/01/2016,20:25:00,"NA",31.38
116,23/01/2016,20:30:00,"NA",31.38
117,23/01/2016,20:35:00,"NA",31.38
118,23/01/2016,20:40:00,"NA",31.32
119,23/01/2016,20:45:00,"NA",31.32
120,23/01/2016,20:50:00,"NA",31.26
121,23/01/2016,20:55:00,"NA",31.26
122,23/01/2016,21:00:00,"NA",31.26
123,23/01/2016,21:05:00,"NA",31.26
124,23/01/2016,21:10:00,"NA",31.2
125,23/01/2016,21:15:00,"NA",31.2
126,23/01/2016,21:20:00,"NA",31.2
127,23/01/2016,21:25:00,"NA",31.2
128,23/01/2016,21:30:00,"NA",31.14
