Site Name ,WLR110,,,
Site Number ,110,,,
Logger ,Capacitive Water Level,,,
Logger Serial Number ,40023,,,
,,,,
,,,,
Scan No ,Date and Time,       Capacitive Water Level,        ,
        ,        ,RAW VALUE ,CALIBRATED VALUE,
,,,,
1,09/01/2014,12:10:16,879,0.14
2,09/01/2014,12:25:16,879,0.14
3,09/01/2014,12:40:16,879,0.14
4,09/01/2014,12:55:16,878,0.14
5,09/01/2014,13:10:16,877,0.14
6,09/01/2014,13:25:16,876,0.14
7,09/01/2014,13:40:16,876,0.14
8,09/01/2014,13:55:16,875,0.14
9,09/01/2014,14:10:16,875,0.14
10,09/01/2014,14:25:16,874,0.14
11,09/01/2014,14:40:16,874,0.14
12,09/01/2014,14:55:16,874,0.14
13,09/01/2014,15:10:16,874,0.14
14,09/01/2014,15:25:16,873,0.14
15,09/01/2014,15:40:16,873,0.14
16,09/01/2014,15:55:16,873,0.14
17,09/01/2014,16:10:16,873,0.14
18,09/01/2014,16:25:16,872,0.14
19,09/01/2014,16:40:16,872,0.14
20,09/01/2014,16:55:16,872,0.14
21,09/01/2014,17:10:16,872,0.14
22,09/01/2014,17:25:16,872,0.14
23,09/01/2014,17:40:16,872,0.14
24,09/01/2014,17:55:16,872,0.14
25,09/01/2014,18:10:16,872,0.14
26,09/01/2014,18:25:16,872,0.14
27,09/01/2014,18:40:16,872,0.14
28,09/01/2014,18:55:16,871,0.13
29,09/01/2014,19:10:16,871,0.13
30,09/01/2014,19:25:16,870,0.13
31,09/01/2014,19:40:16,870,0.13
32,09/01/2014,19:55:16,871,0.13
33,09/01/2014,20:10:16,871,0.13
34,09/01/2014,20:25:16,871,0.13
35,09/01/2014,20:40:16,872,0.14
36,09/01/2014,20:55:16,872,0.14
37,09/01/2014,21:10:16,871,0.13
38,09/01/2014,21:25:16,872,0.14
39,09/01/2014,21:40:16,872,0.14
40,09/01/2014,21:55:16,872,0.14
41,09/01/2014,22:10:16,872,0.14
42,09/01/2014,22:25:16,872,0.14
43,09/01/2014,22:40:16,872,0.14
44,09/01/2014,22:55:16,872,0.14
45,09/01/2014,23:10:16,872,0.14
46,09/01/2014,23:25:16,872,0.14
47,09/01/2014,23:40:16,871,0.13
48,09/01/2014,23:55:16,871,0.13
49,10/01/2014,00:10:16,871,0.13
50,10/01/2014,00:25:16,871,0.13
51,10/01/2014,00:40:16,871,0.13
52,10/01/2014,00:55:16,871,0.13
53,10/01/2014,01:10:16,871,0.13
54,10/01/2014,01:25:16,871,0.13
55,10/01/2014,01:40:16,870,0.13
56,10/01/2014,01:55:16,871,0.13
57,10/01/2014,02:10:16,871,0.13
58,10/01/2014,02:25:16,871,0.13
59,10/01/2014,02:40:16,871,0.13
60,10/01/2014,02:55:16,871,0.13
61,10/01/2014,03:10:16,871,0.13
62,10/01/2014,03:25:16,871,0.13
63,10/01/2014,03:40:16,871,0.13
64,10/01/2014,03:55:16,871,0.13
65,10/01/2014,04:10:16,871,0.13
66,10/01/2014,04:25:16,871,0.13
67,10/01/2014,04:40:16,871,0.13
68,10/01/2014,04:55:16,871,0.13
69,10/01/2014,05:10:16,871,0.13
70,10/01/2014,05:25:16,871,0.13
71,10/01/2014,05:40:16,871,0.13
72,10/01/2014,05:55:16,871,0.13
73,10/01/2014,06:10:16,871,0.13
74,10/01/2014,06:25:16,871,0.13
75,10/01/2014,06:40:16,871,0.13
76,10/01/2014,06:55:16,871,0.13
77,10/01/2014,07:10:16,871,0.13
78,10/01/2014,07:25:16,871,0.13
79,10/01/2014,07:40:16,872,0.14
80,10/01/2014,07:55:16,873,0.14
81,10/01/2014,08:10:16,874,0.14
82,10/01/2014,08:25:16,874,0.14
83,10/01/2014,08:40:16,874,0.14
84,10/01/2014,08:55:16,874,0.14
85,10/01/2014,09:10:16,874,0.14
86,10/01/2014,09:25:16,873,0.14
87,10/01/2014,09:40:16,873,0.14
88,10/01/2014,09:55:16,872,0.14
89,10/01/2014,10:10:16,872,0.14
90,10/01/2014,10:25:16,872,0.14
91,10/01/2014,10:40:16,872,0.14
92,10/01/2014,10:55:16,871,0.13
93,10/01/2014,11:10:16,871,0.13
94,10/01/2014,11:25:16,871,0.13
95,10/01/2014,11:40:16,870,0.13
