Site Name,WLR110,,,
Site Number,110,,,
Logger,Capacitive Water Level,,,
Logger Serial Number,40023,,,
,,,,
,,,,
Scan No,Date and Time,Capacitive Water Level,,
,,RAW VALUE,CALIBRATED VALUE,
,,,,
1,26/03/2015,10:45:00,812,9.42
2,26/03/2015,10:50:00,812,9.94
3,26/03/2015,10:55:00,812,9.94
4,26/03/2015,11:00:00,811,9.87
5,26/03/2015,11:05:00,811,9.87
6,26/03/2015,11:10:00,811,9.87
7,26/03/2015,11:15:00,810,9.81
8,26/03/2015,11:20:00,810,9.81
9,26/03/2015,11:25:00,810,9.81
10,26/03/2015,11:30:00,811,9.87
11,26/03/2015,11:35:00,811,9.87
12,26/03/2015,11:40:00,811,9.87
13,26/03/2015,11:45:00,811,9.87
14,26/03/2015,11:50:00,811,9.87
15,26/03/2015,11:55:00,810,9.81
16,26/03/2015,12:00:00,810,9.81
17,26/03/2015,12:05:00,810,9.81
18,26/03/2015,12:10:00,810,9.81
19,26/03/2015,12:15:00,810,9.81
20,26/03/2015,12:20:00,810,9.81
21,26/03/2015,12:25:00,810,9.81
22,26/03/2015,12:30:00,809,9.74
23,26/03/2015,12:35:00,813,10
24,26/03/2015,12:40:00,810,9.81
25,26/03/2015,12:45:00,809,9.74
26,26/03/2015,12:50:00,808,9.68
27,26/03/2015,12:55:00,808,9.68
28,26/03/2015,13:00:00,808,9.68
29,26/03/2015,13:05:00,808,9.68
30,26/03/2015,13:10:00,808,9.68
31,26/03/2015,13:15:00,808,9.68
32,26/03/2015,13:20:00,808,9.68
33,26/03/2015,13:25:00,808,9.68
34,26/03/2015,13:30:00,810,9.81
35,26/03/2015,13:35:00,810,9.81
36,26/03/2015,13:40:00,808,9.68
37,26/03/2015,13:45:00,807,9.61
38,26/03/2015,13:50:00,807,9.61
39,26/03/2015,13:55:00,807,9.61
40,26/03/2015,14:00:00,806,9.55
41,26/03/2015,14:05:00,807,9.61
42,26/03/2015,14:10:00,811,9.87
43,26/03/2015,14:15:00,807,9.61
44,26/03/2015,14:20:00,807,9.61
45,26/03/2015,14:25:00,807,9.61
46,26/03/2015,14:30:00,807,9.61
47,26/03/2015,14:35:00,807,9.61
48,26/03/2015,14:40:00,807,9.61
49,26/03/2015,14:45:00,807,9.61
50,26/03/2015,14:50:00,807,9.61
51,26/03/2015,14:55:00,806,9.55
52,26/03/2015,15:00:00,806,9.55
53,26/03/2015,15:05:00,806,9.55
54,26/03/2015,15:10:00,806,9.55
55,26/03/2015,15:15:00,806,9.55
56,26/03/2015,15:20:00,806,9.55
57,26/03/2015,15:25:00,806,9.55
58,26/03/2015,15:30:00,808,9.68
59,26/03/2015,15:35:00,808,9.68
60,26/03/2015,15:40:00,806,9.55
61,26/03/2015,15:45:00,806,9.55
62,26/03/2015,15:50:00,806,9.55
63,26/03/2015,15:55:00,806,9.55
64,26/03/2015,16:00:00,808,9.68
65,26/03/2015,16:05:00,810,9.81
66,26/03/2015,16:10:00,806,9.55
67,26/03/2015,16:15:00,805,9.48
68,26/03/2015,16:20:00,805,9.48
69,26/03/2015,16:25:00,805,9.48
70,26/03/2015,16:30:00,804,9.42
71,26/03/2015,16:35:00,805,9.48
72,26/03/2015,16:40:00,801,9.23
73,26/03/2015,16:45:00,803,9.35
74,26/03/2015,16:50:00,805,9.48
75,26/03/2015,16:55:00,805,9.48
76,26/03/2015,17:00:00,805,9.48
77,26/03/2015,17:05:00,805,9.48
78,26/03/2015,17:10:00,805,9.48
79,26/03/2015,17:15:00,806,9.55
80,26/03/2015,17:20:00,803,9.35
81,26/03/2015,17:25:00,804,9.42
82,26/03/2015,17:30:00,804,9.42
83,26/03/2015,17:35:00,804,9.42
84,26/03/2015,17:40:00,807,9.61
85,26/03/2015,17:45:00,807,9.61
86,26/03/2015,17:50:00,804,9.42
87,26/03/2015,17:55:00,807,9.61
88,26/03/2015,18:00:00,806,9.55
89,26/03/2015,18:05:00,806,9.55
90,26/03/2015,18:10:00,804,9.42
91,26/03/2015,18:15:00,804,9.42
92,26/03/2015,18:20:00,805,9.48
93,26/03/2015,18:25:00,804,9.42
94,26/03/2015,18:30:00,804,9.42
95,26/03/2015,18:35:00,804,9.42
