Site Name ,WLR103A,,,,
Site Number ,103,,,,
Logger ,Capacitive Water Level,,,,
Logger Serial Number ,1745,,,,
,,,,
,,,,
Scan No ,Date and Time,       Capacitive Water Level,        ,,,,,
        ,        ,RAW VALUE ,CALIBRATED VALUE,,,,,
,,,,
1,19/01/2017 , 14:55:00,2046,7.43
2,19/01/2017 , 15:00:00,2046,7.43
3,19/01/2017 , 15:05:00,2047,7.48
4,19/01/2017 , 15:10:00,2046,7.43
5,19/01/2017 , 15:15:00,2046,7.43
6,19/01/2017 , 15:20:00,2046,7.43
7,19/01/2017 , 15:25:00,2046,7.43
8,19/01/2017 , 15:30:00,2046,7.43
9,19/01/2017 , 15:35:00,2046,7.43
10,19/01/2017 , 15:40:00,2046,7.43
11,19/01/2017 , 15:45:00,2047,7.48
12,19/01/2017 , 15:50:00,2046,7.43
13,19/01/2017 , 15:55:00,2047,7.48
14,19/01/2017 , 16:00:00,2046,7.43
15,19/01/2017 , 16:05:00,2046,7.43
16,19/01/2017 , 16:10:00,2046,7.43
17,19/01/2017 , 16:15:00,2046,7.43
18,19/01/2017 , 16:20:00,2046,7.43
19,19/01/2017 , 16:25:00,2046,7.43
20,19/01/2017 , 16:30:00,2046,7.43
21,19/01/2017 , 16:35:00,2046,7.43
22,19/01/2017 , 16:40:00,2046,7.43
23,19/01/2017 , 16:45:00,2046,7.43
24,19/01/2017 , 16:50:00,2047,7.48
25,19/01/2017 , 16:55:00,2047,7.48
26,19/01/2017 , 17:00:00,2047,7.48
27,19/01/2017 , 17:05:00,2047,7.48
28,19/01/2017 , 17:10:00,2047,7.48
29,19/01/2017 , 17:15:00,2047,7.48
30,19/01/2017 , 17:20:00,2046,7.43
31,19/01/2017 , 17:25:00,2045,7.38
32,19/01/2017 , 17:30:00,2045,7.38
33,19/01/2017 , 17:35:00,2045,7.38
34,19/01/2017 , 17:40:00,2045,7.38
35,19/01/2017 , 17:45:00,2045,7.38
36,19/01/2017 , 17:50:00,2044,7.34
37,19/01/2017 , 17:55:00,2044,7.34
38,19/01/2017 , 18:00:00,2045,7.38
39,19/01/2017 , 18:05:00,2045,7.38
40,19/01/2017 , 18:10:00,2045,7.38
41,19/01/2017 , 18:15:00,2045,7.38
42,19/01/2017 , 18:20:00,2044,7.34
43,19/01/2017 , 18:25:00,2044,7.34
44,19/01/2017 , 18:30:00,2045,7.38
45,19/01/2017 , 18:35:00,2044,7.34
46,19/01/2017 , 18:40:00,2046,7.43
47,19/01/2017 , 18:45:00,2049,7.57
48,19/01/2017 , 18:50:00,2049,7.57
49,19/01/2017 , 18:55:00,2048,7.53
50,19/01/2017 , 19:00:00,2050,7.62
51,19/01/2017 , 19:05:00,2050,7.62
52,19/01/2017 , 19:10:00,2052,7.72
53,19/01/2017 , 19:15:00,2052,7.72
54,19/01/2017 , 19:20:00,2052,7.72
55,19/01/2017 , 19:25:00,2053,7.76
56,19/01/2017 , 19:30:00,2053,7.76
57,19/01/2017 , 19:35:00,2053,7.76
58,19/01/2017 , 19:40:00,2055,7.86
59,19/01/2017 , 19:45:00,2059,8.05
60,19/01/2017 , 19:50:00,2059,8.05
61,19/01/2017 , 19:55:00,2059,8.05
62,19/01/2017 , 20:00:00,2060,8.1
63,19/01/2017 , 20:05:00,2063,8.24
64,19/01/2017 , 20:10:00,2064,8.29
65,19/01/2017 , 20:15:00,2064,8.29
66,19/01/2017 , 20:20:00,2065,8.34
67,19/01/2017 , 20:25:00,2064,8.29
68,19/01/2017 , 20:30:00,2064,8.29
69,19/01/2017 , 20:35:00,2063,8.24
70,19/01/2017 , 20:40:00,2063,8.24
71,19/01/2017 , 20:45:00,2062,8.19
72,19/01/2017 , 20:50:00,2062,8.19
73,19/01/2017 , 20:55:00,2061,8.14
74,19/01/2017 , 21:00:00,2061,8.14
75,19/01/2017 , 21:05:00,2060,8.1
76,19/01/2017 , 21:10:00,2059,8.05
77,19/01/2017 , 21:15:00,2059,8.05
78,19/01/2017 , 21:20:00,2058,8
79,19/01/2017 , 21:25:00,2057,7.95
80,19/01/2017 , 21:30:00,2057,7.95
81,19/01/2017 , 21:35:00,2055,7.86
82,19/01/2017 , 21:40:00,2054,7.81
83,19/01/2017 , 21:45:00,2054,7.81
84,19/01/2017 , 21:50:00,2054,7.81
85,19/01/2017 , 21:55:00,2053,7.76
86,19/01/2017 , 22:00:00,2053,7.76
87,19/01/2017 , 22:05:00,2053,7.76
88,19/01/2017 , 22:10:00,2053,7.76
89,19/01/2017 , 22:15:00,2053,7.76
90,19/01/2017 , 22:20:00,2052,7.72
91,19/01/2017 , 22:25:00,2053,7.76
92,19/01/2017 , 22:30:00,2052,7.72
93,19/01/2017 , 22:35:00,2053,7.76
94,19/01/2017 , 22:40:00,2053,7.76
95,19/01/2017 , 22:45:00,2053,7.76
96,19/01/2017 , 22:50:00,2053,7.76
