Site Name ,WLR105,,,,
Site Number ,105,,,,
Logger ,Capacitive Water Level,,,,
Logger Serial Number ,44401,,,,
,,,,
,,,,
Scan No ,Date and Time,       Capacitive Water Level,        ,,,,,
        ,        ,RAW VALUE ,CALIBRATED VALUE,,,,,
,,,,
1,27/01/2017 , 12:15:00,2163,8.18
2,27/01/2017 , 12:20:00,2163,8.18
3,27/01/2017 , 12:25:00,2163,8.18
4,27/01/2017 , 12:30:00,2162,8.09
5,27/01/2017 , 12:35:00,2162,8.09
6,27/01/2017 , 12:40:00,2162,8.09
7,27/01/2017 , 12:45:00,2163,8.18
8,27/01/2017 , 12:50:00,2163,8.18
9,27/01/2017 , 12:55:00,2162,8.09
10,27/01/2017 , 13:00:00,2162,8.09
11,27/01/2017 , 13:05:00,2162,8.09
12,27/01/2017 , 13:10:00,2162,8.09
13,27/01/2017 , 13:15:00,2162,8.09
14,27/01/2017 , 13:20:00,2162,8.09
15,27/01/2017 , 13:25:00,2162,8.09
16,27/01/2017 , 13:30:00,2162,8.09
17,27/01/2017 , 13:35:00,2162,8.09
18,27/01/2017 , 13:40:00,2162,8.09
19,27/01/2017 , 13:45:00,2162,8.09
20,27/01/2017 , 13:50:00,2163,8.18
21,27/01/2017 , 13:55:00,2162,8.09
22,27/01/2017 , 14:00:00,2161,8
23,27/01/2017 , 14:05:00,2162,8.09
24,27/01/2017 , 14:10:00,2162,8.09
25,27/01/2017 , 14:15:00,2161,8
26,27/01/2017 , 14:20:00,2161,8
27,27/01/2017 , 14:25:00,2161,8
28,27/01/2017 , 14:30:00,2161,8
29,27/01/2017 , 14:35:00,2161,8
30,27/01/2017 , 14:40:00,2161,8
31,27/01/2017 , 14:45:00,2161,8
32,27/01/2017 , 14:50:00,2161,8
33,27/01/2017 , 14:55:00,2161,8
34,27/01/2017 , 15:00:00,2161,8
35,27/01/2017 , 15:05:00,2161,8
36,27/01/2017 , 15:10:00,2161,8
37,27/01/2017 , 15:15:00,2161,8
38,27/01/2017 , 15:20:00,2161,8
39,27/01/2017 , 15:25:00,2161,8
40,27/01/2017 , 15:30:00,2161,8
41,27/01/2017 , 15:35:00,2161,8
42,27/01/2017 , 15:40:00,2160,7.92
43,27/01/2017 , 15:45:00,2161,8
44,27/01/2017 , 15:50:00,2161,8
45,27/01/2017 , 15:55:00,2161,8
46,27/01/2017 , 16:00:00,2161,8
47,27/01/2017 , 16:05:00,2161,8
48,27/01/2017 , 16:10:00,2161,8
49,27/01/2017 , 16:15:00,2161,8
50,27/01/2017 , 16:20:00,2161,8
51,27/01/2017 , 16:25:00,2161,8
52,27/01/2017 , 16:30:00,2161,8
53,27/01/2017 , 16:35:00,2160,7.92
54,27/01/2017 , 16:40:00,2160,7.92
55,27/01/2017 , 16:45:00,2160,7.92
56,27/01/2017 , 16:50:00,2160,7.92
57,27/01/2017 , 16:55:00,2160,7.92
58,27/01/2017 , 17:00:00,2160,7.92
59,27/01/2017 , 17:05:00,2161,8
60,27/01/2017 , 17:10:00,2161,8
61,27/01/2017 , 17:15:00,2161,8
62,27/01/2017 , 17:20:00,2161,8
63,27/01/2017 , 17:25:00,2161,8
64,27/01/2017 , 17:30:00,2161,8
65,27/01/2017 , 17:35:00,2161,8
66,27/01/2017 , 17:40:00,2161,8
67,27/01/2017 , 17:45:00,2162,8.09
68,27/01/2017 , 17:50:00,2165,8.35
69,27/01/2017 , 17:55:00,2167,8.52
70,27/01/2017 , 18:00:00,2168,8.61
71,27/01/2017 , 18:05:00,2168,8.61
72,27/01/2017 , 18:10:00,2169,8.69
73,27/01/2017 , 18:15:00,2169,8.69
74,27/01/2017 , 18:20:00,2170,8.78
75,27/01/2017 , 18:25:00,2171,8.86
76,27/01/2017 , 18:30:00,2172,8.95
77,27/01/2017 , 18:35:00,2172,8.95
78,27/01/2017 , 18:40:00,2173,9.04
79,27/01/2017 , 18:45:00,2173,9.04
80,27/01/2017 , 18:50:00,2174,9.12
81,27/01/2017 , 18:55:00,2174,9.12
82,27/01/2017 , 19:00:00,2175,9.21
83,27/01/2017 , 19:05:00,2175,9.21
84,27/01/2017 , 19:10:00,2176,9.29
85,27/01/2017 , 19:15:00,2175,9.21
86,27/01/2017 , 19:20:00,2176,9.29
87,27/01/2017 , 19:25:00,2176,9.29
88,27/01/2017 , 19:30:00,2176,9.29
89,27/01/2017 , 19:35:00,2176,9.29
90,27/01/2017 , 19:40:00,2176,9.29
91,27/01/2017 , 19:45:00,2177,9.38
92,27/01/2017 , 19:50:00,2177,9.38
93,27/01/2017 , 19:55:00,2177,9.38
94,27/01/2017 , 20:00:00,2178,9.47
95,27/01/2017 , 20:05:00,2178,9.47
96,27/01/2017 , 20:10:00,2178,9.47
97,27/01/2017 , 20:15:00,2178,9.47
98,27/01/2017 , 20:20:00,2178,9.47
99,27/01/2017 , 20:25:00,2179,9.55
