Site Name ,WLR109,,,,
Site Number ,109,,,,
Logger ,Capacitive Water Level,,,,
Logger Serial Number ,44354,,,,
,,,,
,,,,
Scan No ,Date and Time,       Capacitive Water Level,        ,,,,,
        ,        ,RAW VALUE ,CALIBRATED VALUE,,,,,
,,,,
1,20/01/2017 , 11:20:00,2199,11.31
2,20/01/2017 , 11:25:00,2199,11.31
3,20/01/2017 , 11:30:00,2199,11.31
4,20/01/2017 , 11:35:00,2200,11.4
5,20/01/2017 , 11:40:00,2202,11.57
6,20/01/2017 , 11:45:00,2200,11.4
7,20/01/2017 , 11:50:00,2200,11.4
8,20/01/2017 , 11:55:00,2200,11.4
9,20/01/2017 , 12:00:00,2200,11.4
10,20/01/2017 , 12:05:00,2200,11.4
11,20/01/2017 , 12:10:00,2200,11.4
12,20/01/2017 , 12:15:00,2200,11.4
13,20/01/2017 , 12:20:00,2200,11.4
14,20/01/2017 , 12:25:00,2200,11.4
15,20/01/2017 , 12:30:00,2200,11.4
16,20/01/2017 , 12:35:00,2199,11.31
17,20/01/2017 , 12:40:00,2199,11.31
18,20/01/2017 , 12:45:00,2199,11.31
19,20/01/2017 , 12:50:00,2199,11.31
20,20/01/2017 , 12:55:00,2199,11.31
21,20/01/2017 , 13:00:00,2199,11.31
22,20/01/2017 , 13:05:00,2199,11.31
23,20/01/2017 , 13:10:00,2199,11.31
24,20/01/2017 , 13:15:00,2199,11.31
25,20/01/2017 , 13:20:00,2199,11.31
26,20/01/2017 , 13:25:00,2199,11.31
27,20/01/2017 , 13:30:00,2199,11.31
28,20/01/2017 , 13:35:00,2199,11.31
29,20/01/2017 , 13:40:00,2199,11.31
30,20/01/2017 , 13:45:00,2199,11.31
31,20/01/2017 , 13:50:00,2199,11.31
32,20/01/2017 , 13:55:00,2199,11.31
33,20/01/2017 , 14:00:00,2199,11.31
34,20/01/2017 , 14:05:00,2199,11.31
35,20/01/2017 , 14:10:00,2200,11.4
36,20/01/2017 , 14:15:00,2200,11.4
37,20/01/2017 , 14:20:00,2199,11.31
38,20/01/2017 , 14:25:00,2199,11.31
39,20/01/2017 , 14:30:00,2199,11.31
40,20/01/2017 , 14:35:00,2199,11.31
41,20/01/2017 , 14:40:00,2199,11.31
42,20/01/2017 , 14:45:00,2199,11.31
43,20/01/2017 , 14:50:00,2201,11.48
44,20/01/2017 , 14:55:00,2199,11.31
45,20/01/2017 , 15:00:00,2199,11.31
46,20/01/2017 , 15:05:00,2201,11.48
47,20/01/2017 , 15:10:00,2201,11.48
48,20/01/2017 , 15:15:00,2199,11.31
49,20/01/2017 , 15:20:00,2200,11.4
50,20/01/2017 , 15:25:00,2200,11.4
51,20/01/2017 , 15:30:00,2200,11.4
52,20/01/2017 , 15:35:00,2200,11.4
53,20/01/2017 , 15:40:00,2200,11.4
54,20/01/2017 , 15:45:00,2200,11.4
55,20/01/2017 , 15:50:00,2200,11.4
56,20/01/2017 , 15:55:00,2200,11.4
57,20/01/2017 , 16:00:00,2201,11.48
58,20/01/2017 , 16:05:00,2200,11.4
59,20/01/2017 , 16:10:00,2200,11.4
60,20/01/2017 , 16:15:00,2200,11.4
61,20/01/2017 , 16:20:00,2200,11.4
62,20/01/2017 , 16:25:00,2200,11.4
63,20/01/2017 , 16:30:00,2201,11.48
64,20/01/2017 , 16:35:00,2200,11.4
65,20/01/2017 , 16:40:00,2200,11.4
66,20/01/2017 , 16:45:00,2200,11.4
67,20/01/2017 , 16:50:00,2200,11.4
68,20/01/2017 , 16:55:00,2201,11.48
69,20/01/2017 , 17:00:00,2201,11.48
70,20/01/2017 , 17:05:00,2201,11.48
71,20/01/2017 , 17:10:00,2200,11.4
72,20/01/2017 , 17:15:00,2201,11.48
73,20/01/2017 , 17:20:00,2201,11.48
74,20/01/2017 , 17:25:00,2200,11.4
75,20/01/2017 , 17:30:00,2201,11.48
76,20/01/2017 , 17:35:00,2200,11.4
77,20/01/2017 , 17:40:00,2200,11.4
78,20/01/2017 , 17:45:00,2201,11.48
79,20/01/2017 , 17:50:00,2201,11.48
80,20/01/2017 , 17:55:00,2201,11.48
81,20/01/2017 , 18:00:00,2201,11.48
82,20/01/2017 , 18:05:00,2201,11.48
83,20/01/2017 , 18:10:00,2201,11.48
84,20/01/2017 , 18:15:00,2201,11.48
85,20/01/2017 , 18:20:00,2202,11.57
86,20/01/2017 , 18:25:00,2202,11.57
87,20/01/2017 , 18:30:00,2205,11.83
88,20/01/2017 , 18:35:00,2204,11.74
89,20/01/2017 , 18:40:00,2204,11.74
90,20/01/2017 , 18:45:00,2202,11.57
91,20/01/2017 , 18:50:00,2203,11.65
92,20/01/2017 , 18:55:00,2203,11.65
93,20/01/2017 , 19:00:00,2203,11.65
94,20/01/2017 , 19:05:00,2202,11.57
95,20/01/2017 , 19:10:00,2221,13.2
96,20/01/2017 , 19:15:00,2202,11.57
