"","Date.Time","Unit","Value"
"1","3/21/14 10:44:01 AM","C",24.59
"2","3/21/14 10:59:01 AM","C",21.589
"3","3/21/14 11:14:01 AM","C",22.089
"4","3/21/14 11:29:01 AM","C",22.59
"5","3/21/14 11:44:01 AM","C",21.589
"6","3/21/14 11:59:01 AM","C",22.089
"7","3/21/14 12:14:01 PM","C",22.089
"8","3/21/14 12:29:01 PM","C",24.09
"9","3/21/14 12:44:01 PM","C",23.09
"10","3/21/14 12:59:01 PM","C",23.09
"11","3/21/14 1:14:01 PM","C",23.09
"12","3/21/14 1:29:01 PM","C",24.09
"13","3/21/14 1:44:01 PM","C",24.59
"14","3/21/14 1:59:01 PM","C",25.59
"15","3/21/14 2:14:01 PM","C",24.09
"16","3/21/14 2:29:01 PM","C",23.59
"17","3/21/14 2:44:01 PM","C",24.09
"18","3/21/14 2:59:01 PM","C",21.089
"19","3/21/14 3:14:01 PM","C",21.089
"20","3/21/14 3:29:01 PM","C",20.589
"21","3/21/14 3:44:01 PM","C",19.588
"22","3/21/14 3:59:01 PM","C",19.588
"23","3/21/14 4:14:01 PM","C",19.087
"24","3/21/14 4:29:01 PM","C",19.087
"25","3/21/14 4:44:01 PM","C",19.087
"26","3/21/14 4:59:01 PM","C",20.088
"27","3/21/14 5:14:01 PM","C",19.588
"28","3/21/14 5:29:01 PM","C",24.09
"29","3/21/14 5:44:01 PM","C",21.589
"30","3/21/14 5:59:01 PM","C",17.586
"31","3/21/14 6:14:01 PM","C",16.584
"32","3/21/14 6:29:01 PM","C",16.084
"33","3/21/14 6:44:01 PM","C",15.583
"34","3/21/14 6:59:01 PM","C",15.082
"35","3/21/14 7:14:01 PM","C",14.581
"36","3/21/14 7:29:01 PM","C",14.581
"37","3/21/14 7:44:01 PM","C",14.581
"38","3/21/14 7:59:01 PM","C",14.581
"39","3/21/14 8:14:01 PM","C",14.081
"40","3/21/14 8:29:01 PM","C",14.581
"41","3/21/14 8:44:01 PM","C",14.081
"42","3/21/14 8:59:01 PM","C",14.081
"43","3/21/14 9:14:01 PM","C",14.081
"44","3/21/14 9:29:01 PM","C",13.58
"45","3/21/14 9:44:01 PM","C",14.081
"46","3/21/14 9:59:01 PM","C",14.081
"47","3/21/14 10:14:01 PM","C",13.58
"48","3/21/14 10:29:01 PM","C",13.58
"49","3/21/14 10:44:01 PM","C",13.58
"50","3/21/14 10:59:01 PM","C",13.58
"51","3/21/14 11:14:01 PM","C",13.58
"52","3/21/14 11:29:01 PM","C",13.58
"53","3/21/14 11:44:01 PM","C",13.079
"54","3/21/14 11:59:01 PM","C",13.079
"55","3/22/14 12:14:01 AM","C",12.578
"56","3/22/14 12:29:01 AM","C",13.079
"57","3/22/14 12:44:01 AM","C",12.578
"58","3/22/14 12:59:01 AM","C",12.578
"59","3/22/14 1:14:01 AM","C",12.578
"60","3/22/14 1:29:01 AM","C",12.578
"61","3/22/14 1:44:01 AM","C",12.578
"62","3/22/14 1:59:01 AM","C",12.077
"63","3/22/14 2:14:01 AM","C",12.077
"64","3/22/14 2:29:01 AM","C",12.077
"65","3/22/14 2:44:01 AM","C",12.077
"66","3/22/14 2:59:01 AM","C",11.576
"67","3/22/14 3:14:01 AM","C",12.077
"68","3/22/14 3:29:01 AM","C",11.576
"69","3/22/14 3:44:01 AM","C",11.576
"70","3/22/14 3:59:01 AM","C",11.576
"71","3/22/14 4:14:01 AM","C",11.576
"72","3/22/14 4:29:01 AM","C",11.576
"73","3/22/14 4:44:01 AM","C",11.576
"74","3/22/14 4:59:01 AM","C",10.574
"75","3/22/14 5:14:01 AM","C",10.574
"76","3/22/14 5:29:01 AM","C",11.075
"77","3/22/14 5:44:01 AM","C",11.576
"78","3/22/14 5:59:01 AM","C",11.576
"79","3/22/14 6:14:01 AM","C",11.576
"80","3/22/14 6:29:01 AM","C",12.077
"81","3/22/14 6:44:01 AM","C",12.077
"82","3/22/14 6:59:01 AM","C",12.578
"83","3/22/14 7:14:01 AM","C",12.578
"84","3/22/14 7:29:01 AM","C",13.079
"85","3/22/14 7:44:01 AM","C",13.58
"86","3/22/14 7:59:01 AM","C",15.082
"87","3/22/14 8:14:01 AM","C",16.084
"88","3/22/14 8:29:01 AM","C",16.584
"89","3/22/14 8:44:01 AM","C",17.085
"90","3/22/14 8:59:01 AM","C",17.586
"91","3/22/14 9:14:01 AM","C",19.087
"92","3/22/14 9:29:01 AM","C",18.587
"93","3/22/14 9:44:01 AM","C",19.588
"94","3/22/14 9:59:01 AM","C",20.088
"95","3/22/14 10:14:01 AM","C",20.589
"96","3/22/14 10:29:01 AM","C",20.088
"97","3/22/14 10:44:01 AM","C",21.089
"98","3/22/14 10:59:01 AM","C",20.589
"99","3/22/14 11:14:01 AM","C",23.59
"100","3/22/14 11:29:01 AM","C",23.59
"101","3/22/14 11:44:01 AM","C",23.59
"102","3/22/14 11:59:01 AM","C",23.59
"103","3/22/14 12:14:01 PM","C",22.089
"104","3/22/14 12:29:01 PM","C",23.59
"105","3/22/14 12:44:01 PM","C",23.59
"106","3/22/14 12:59:01 PM","C",21.089
"107","3/22/14 1:14:01 PM","C",21.589
"108","3/22/14 1:29:01 PM","C",21.089
"109","3/22/14 1:44:01 PM","C",23.09
"110","3/22/14 1:59:01 PM","C",23.09
"111","3/22/14 2:14:01 PM","C",22.59
"112","3/22/14 2:29:01 PM","C",23.09
"113","3/22/14 2:44:01 PM","C",23.59
"114","3/22/14 2:59:01 PM","C",22.59
"115","3/22/14 3:14:01 PM","C",23.09
"116","3/22/14 3:29:01 PM","C",23.09
"117","3/22/14 3:44:01 PM","C",23.59
"118","3/22/14 3:59:01 PM","C",22.089
"119","3/22/14 4:14:01 PM","C",21.089
"120","3/22/14 4:29:01 PM","C",22.089
"121","3/22/14 4:44:01 PM","C",24.09
"122","3/22/14 4:59:01 PM","C",24.59
"123","3/22/14 5:14:01 PM","C",23.59
"124","3/22/14 5:29:01 PM","C",20.088
"125","3/22/14 5:44:01 PM","C",19.588
"126","3/22/14 5:59:01 PM","C",19.087
"127","3/22/14 6:14:01 PM","C",17.586
"128","3/22/14 6:29:01 PM","C",16.584
"129","3/22/14 6:44:01 PM","C",16.084
"130","3/22/14 6:59:01 PM","C",16.084
"131","3/22/14 7:14:01 PM","C",15.583
"132","3/22/14 7:29:01 PM","C",15.583
"133","3/22/14 7:44:01 PM","C",15.583
"134","3/22/14 7:59:01 PM","C",15.583
"135","3/22/14 8:14:01 PM","C",15.583
"136","3/22/14 8:29:01 PM","C",15.583
"137","3/22/14 8:44:01 PM","C",15.583
"138","3/22/14 8:59:01 PM","C",15.583
"139","3/22/14 9:14:01 PM","C",15.082
"140","3/22/14 9:29:01 PM","C",15.082
"141","3/22/14 9:44:01 PM","C",14.581
"142","3/22/14 9:59:01 PM","C",14.081
"143","3/22/14 10:14:01 PM","C",13.58
"144","3/22/14 10:29:01 PM","C",13.079
"145","3/22/14 10:44:01 PM","C",13.079
"146","3/22/14 10:59:01 PM","C",13.079
"147","3/22/14 11:14:01 PM","C",13.079
"148","3/22/14 11:29:01 PM","C",13.58
"149","3/22/14 11:44:01 PM","C",13.58
"150","3/22/14 11:59:01 PM","C",14.081
"151","3/23/14 12:14:01 AM","C",14.081
"152","3/23/14 12:29:01 AM","C",14.081
"153","3/23/14 12:44:01 AM","C",14.081
"154","3/23/14 12:59:01 AM","C",13.58
"155","3/23/14 1:14:01 AM","C",13.58
"156","3/23/14 1:29:01 AM","C",13.58
"157","3/23/14 1:44:01 AM","C",13.079
"158","3/23/14 1:59:01 AM","C",13.079
"159","3/23/14 2:14:01 AM","C",12.578
"160","3/23/14 2:29:01 AM","C",12.578
"161","3/23/14 2:44:01 AM","C",12.578
"162","3/23/14 2:59:01 AM","C",12.578
"163","3/23/14 3:14:01 AM","C",12.578
"164","3/23/14 3:29:01 AM","C",12.578
"165","3/23/14 3:44:01 AM","C",12.578
"166","3/23/14 3:59:01 AM","C",12.578
"167","3/23/14 4:14:01 AM","C",12.077
"168","3/23/14 4:29:01 AM","C",12.578
"169","3/23/14 4:44:01 AM","C",12.578
