"","tips","mm","dt.tm","Unit_ID","Rank","cat","gid","Unit_ID","Lat","Long","x","y","z","location","remarks","elevation","slope","aspect","coords.x1","coords.x2"
"52",57.57,1381.68,2015-07-01,"TBRG 101",1,20,20,"TBRG 101",11.2918369999999,76.5564349999978,669880.911882871,1248700.1850178,2627.9,"Kolaripetta top tower","No rain during installation",2575,22.46737,56.30993,669880.911882871,1248700.1850178
"54",9.96,239.04,2015-07-31,"TBRG 101",2,20,20,"TBRG 101",11.2918369999999,76.5564349999978,669880.911882871,1248700.1850178,2627.9,"Kolaripetta top tower","No rain during installation",2575,22.46737,56.30993,669880.911882871,1248700.1850178
"47",3.18,76.32,2015-04-17,"TBRG 101",3,20,20,"TBRG 101",11.2918369999999,76.5564349999978,669880.911882871,1248700.1850178,2627.9,"Kolaripetta top tower","No rain during installation",2575,22.46737,56.30993,669880.911882871,1248700.1850178
"49",5.48,131.52,2015-05-17,"TBRG 101",4,20,20,"TBRG 101",11.2918369999999,76.5564349999978,669880.911882871,1248700.1850178,2627.9,"Kolaripetta top tower","No rain during installation",2575,22.46737,56.30993,669880.911882871,1248700.1850178
"50",0.77,18.48,2015-06-01,"TBRG 101",5,20,20,"TBRG 101",11.2918369999999,76.5564349999978,669880.911882871,1248700.1850178,2627.9,"Kolaripetta top tower","No rain during installation",2575,22.46737,56.30993,669880.911882871,1248700.1850178
"51",2.59,62.16,2015-06-16,"TBRG 101",6,20,20,"TBRG 101",11.2918369999999,76.5564349999978,669880.911882871,1248700.1850178,2627.9,"Kolaripetta top tower","No rain during installation",2575,22.46737,56.30993,669880.911882871,1248700.1850178
"53",6.24,149.76,2015-07-16,"TBRG 101",7,20,20,"TBRG 101",11.2918369999999,76.5564349999978,669880.911882871,1248700.1850178,2627.9,"Kolaripetta top tower","No rain during installation",2575,22.46737,56.30993,669880.911882871,1248700.1850178
"55",5.86,140.64,2015-08-15,"TBRG 101",8,20,20,"TBRG 101",11.2918369999999,76.5564349999978,669880.911882871,1248700.1850178,2627.9,"Kolaripetta top tower","No rain during installation",2575,22.46737,56.30993,669880.911882871,1248700.1850178
"521",54.81,1260.63,2015-07-01,"TBRG 102",1,21,21,"TBRG 102",11.2846479999999,76.5670659999978,671045.784782464,1247911.19826642,2351.09,"Near V notch at First site","No rain during installation",2340,16.62619,206.9165,671045.784782464,1247911.19826642
"541",11.04,253.92,2015-07-31,"TBRG 102",2,21,21,"TBRG 102",11.2846479999999,76.5670659999978,671045.784782464,1247911.19826642,2351.09,"Near V notch at First site","No rain during installation",2340,16.62619,206.9165,671045.784782464,1247911.19826642
"471",2.94,67.62,2015-04-17,"TBRG 102",3,21,21,"TBRG 102",11.2846479999999,76.5670659999978,671045.784782464,1247911.19826642,2351.09,"Near V notch at First site","No rain during installation",2340,16.62619,206.9165,671045.784782464,1247911.19826642
"491",6.56,150.88,2015-05-17,"TBRG 102",4,21,21,"TBRG 102",11.2846479999999,76.5670659999978,671045.784782464,1247911.19826642,2351.09,"Near V notch at First site","No rain during installation",2340,16.62619,206.9165,671045.784782464,1247911.19826642
"501",1.32,30.36,2015-06-01,"TBRG 102",5,21,21,"TBRG 102",11.2846479999999,76.5670659999978,671045.784782464,1247911.19826642,2351.09,"Near V notch at First site","No rain during installation",2340,16.62619,206.9165,671045.784782464,1247911.19826642
"511",2.63,60.49,2015-06-16,"TBRG 102",6,21,21,"TBRG 102",11.2846479999999,76.5670659999978,671045.784782464,1247911.19826642,2351.09,"Near V notch at First site","No rain during installation",2340,16.62619,206.9165,671045.784782464,1247911.19826642
"531",6.13,140.99,2015-07-16,"TBRG 102",7,21,21,"TBRG 102",11.2846479999999,76.5670659999978,671045.784782464,1247911.19826642,2351.09,"Near V notch at First site","No rain during installation",2340,16.62619,206.9165,671045.784782464,1247911.19826642
"551",5.18,119.14,2015-08-15,"TBRG 102",8,21,21,"TBRG 102",11.2846479999999,76.5670659999978,671045.784782464,1247911.19826642,2351.09,"Near V notch at First site","No rain during installation",2340,16.62619,206.9165,671045.784782464,1247911.19826642
"522",38.06,989.56,2015-07-01,"TBRG 103",1,18,18,"TBRG 103",11.2752739999999,76.5626569999978,670569.962681476,1246871.75966258,2332.26,"Near Bunker 2 site","No rain during installation",2282,3.879076,334.9831,670569.962681476,1246871.75966258
"542",8.49,220.74,2015-07-31,"TBRG 103",2,18,18,"TBRG 103",11.2752739999999,76.5626569999978,670569.962681476,1246871.75966258,2332.26,"Near Bunker 2 site","No rain during installation",2282,3.879076,334.9831,670569.962681476,1246871.75966258
"472",2.19,56.94,2015-04-17,"TBRG 103",3,18,18,"TBRG 103",11.2752739999999,76.5626569999978,670569.962681476,1246871.75966258,2332.26,"Near Bunker 2 site","No rain during installation",2282,3.879076,334.9831,670569.962681476,1246871.75966258
"492",5.98,155.48,2015-05-17,"TBRG 103",4,18,18,"TBRG 103",11.2752739999999,76.5626569999978,670569.962681476,1246871.75966258,2332.26,"Near Bunker 2 site","No rain during installation",2282,3.879076,334.9831,670569.962681476,1246871.75966258
"502",1.05,27.3,2015-06-01,"TBRG 103",5,18,18,"TBRG 103",11.2752739999999,76.5626569999978,670569.962681476,1246871.75966258,2332.26,"Near Bunker 2 site","No rain during installation",2282,3.879076,334.9831,670569.962681476,1246871.75966258
"512",2.57,66.82,2015-06-16,"TBRG 103",6,18,18,"TBRG 103",11.2752739999999,76.5626569999978,670569.962681476,1246871.75966258,2332.26,"Near Bunker 2 site","No rain during installation",2282,3.879076,334.9831,670569.962681476,1246871.75966258
"532",4.73,122.98,2015-07-16,"TBRG 103",7,18,18,"TBRG 103",11.2752739999999,76.5626569999978,670569.962681476,1246871.75966258,2332.26,"Near Bunker 2 site","No rain during installation",2282,3.879076,334.9831,670569.962681476,1246871.75966258
"552",4.93,128.18,2015-08-15,"TBRG 103",8,18,18,"TBRG 103",11.2752739999999,76.5626569999978,670569.962681476,1246871.75966258,2332.26,"Near Bunker 2 site","No rain during installation",2282,3.879076,334.9831,670569.962681476,1246871.75966258
"523",34.68,901.68,2015-07-01,"TBRG 104",1,19,19,"TBRG 104",11.2996179999999,76.5918329999976,673740.742378222,1249581.65416287,2163.89,"Avalanchi forest guest house","No rain during installation",2000,2.345711,143.1301,673740.742378222,1249581.65416287
"543",5.19,134.94,2015-07-31,"TBRG 104",2,19,19,"TBRG 104",11.2996179999999,76.5918329999976,673740.742378222,1249581.65416287,2163.89,"Avalanchi forest guest house","No rain during installation",2000,2.345711,143.1301,673740.742378222,1249581.65416287
"473",1.48,38.48,2015-04-17,"TBRG 104",3,19,19,"TBRG 104",11.2996179999999,76.5918329999976,673740.742378222,1249581.65416287,2163.89,"Avalanchi forest guest house","No rain during installation",2000,2.345711,143.1301,673740.742378222,1249581.65416287
"493",5.99,155.74,2015-05-17,"TBRG 104",4,19,19,"TBRG 104",11.2996179999999,76.5918329999976,673740.742378222,1249581.65416287,2163.89,"Avalanchi forest guest house","No rain during installation",2000,2.345711,143.1301,673740.742378222,1249581.65416287
"503",2.94,76.44,2015-06-01,"TBRG 104",5,19,19,"TBRG 104",11.2996179999999,76.5918329999976,673740.742378222,1249581.65416287,2163.89,"Avalanchi forest guest house","No rain during installation",2000,2.345711,143.1301,673740.742378222,1249581.65416287
"513",1.63,42.38,2015-06-16,"TBRG 104",6,19,19,"TBRG 104",11.2996179999999,76.5918329999976,673740.742378222,1249581.65416287,2163.89,"Avalanchi forest guest house","No rain during installation",2000,2.345711,143.1301,673740.742378222,1249581.65416287
"533",2.75,71.5,2015-07-16,"TBRG 104",7,19,19,"TBRG 104",11.2996179999999,76.5918329999976,673740.742378222,1249581.65416287,2163.89,"Avalanchi forest guest house","No rain during installation",2000,2.345711,143.1301,673740.742378222,1249581.65416287
"553",3.24,84.24,2015-08-15,"TBRG 104",8,19,19,"TBRG 104",11.2996179999999,76.5918329999976,673740.742378222,1249581.65416287,2163.89,"Avalanchi forest guest house","No rain during installation",2000,2.345711,143.1301,673740.742378222,1249581.65416287
"514",26.95,646.8,2015-07-01,"TBRG 105",1,17,17,"TBRG 105",11.2588059999999,76.5721219999977,671613.111722181,1245055.74402434,2319.95,"Past Jackal below Devar Betta","Photo 762-764",2295,27.36893,76.73352,671613.111722181,1245055.74402434
"534",5.48,131.52,2015-07-31,"TBRG 105",2,17,17,"TBRG 105",11.2588059999999,76.5721219999977,671613.111722181,1245055.74402434,2319.95,"Past Jackal below Devar Betta","Photo 762-764",2295,27.36893,76.73352,671613.111722181,1245055.74402434
"46",2.22,53.28,2015-04-17,"TBRG 105",3,17,17,"TBRG 105",11.2588059999999,76.5721219999977,671613.111722181,1245055.74402434,2319.95,"Past Jackal below Devar Betta","Photo 762-764",2295,27.36893,76.73352,671613.111722181,1245055.74402434
"48",5.63,135.12,2015-05-17,"TBRG 105",4,17,17,"TBRG 105",11.2588059999999,76.5721219999977,671613.111722181,1245055.74402434,2319.95,"Past Jackal below Devar Betta","Photo 762-764",2295,27.36893,76.73352,671613.111722181,1245055.74402434
"494",0.83,19.92,2015-06-01,"TBRG 105",5,17,17,"TBRG 105",11.2588059999999,76.5721219999977,671613.111722181,1245055.74402434,2319.95,"Past Jackal below Devar Betta","Photo 762-764",2295,27.36893,76.73352,671613.111722181,1245055.74402434
"504",2.72,65.28,2015-06-16,"TBRG 105",6,17,17,"TBRG 105",11.2588059999999,76.5721219999977,671613.111722181,1245055.74402434,2319.95,"Past Jackal below Devar Betta","Photo 762-764",2295,27.36893,76.73352,671613.111722181,1245055.74402434
"524",3.23,77.52,2015-07-16,"TBRG 105",7,17,17,"TBRG 105",11.2588059999999,76.5721219999977,671613.111722181,1245055.74402434,2319.95,"Past Jackal below Devar Betta","Photo 762-764",2295,27.36893,76.73352,671613.111722181,1245055.74402434
"544",3.41,81.84,2015-08-15,"TBRG 105",8,17,17,"TBRG 105",11.2588059999999,76.5721219999977,671613.111722181,1245055.74402434,2319.95,"Past Jackal below Devar Betta","Photo 762-764",2295,27.36893,76.73352,671613.111722181,1245055.74402434
"515",29.13,757.38,2015-07-01,"TBRG 106",1,16,16,"TBRG 106",11.2722629999999,76.5778559999977,672231.173087783,1246547.6028179,2325.46,"On way to jackal before Devar Betta near 3m falls","Photo 760-761",2314,13.57373,255.2564,672231.173087783,1246547.6028179
"535",5.6,145.6,2015-07-31,"TBRG 106",2,16,16,"TBRG 106",11.2722629999999,76.5778559999977,672231.173087783,1246547.6028179,2325.46,"On way to jackal before Devar Betta near 3m falls","Photo 760-761",2314,13.57373,255.2564,672231.173087783,1246547.6028179
