Slug Injection,,Time,11:19:00 AM,
WLR,101,Date,27/8/14,
Team,"Vivek Ravi,Susan,Shiva,Kamal,Sendil",,,
Conductivity meter,ECTester 11+(08),,time interval 5 sec.,
Trial,2,,ec background 7.8,
saltgm,standardgm,eccalib,ecdata,Stage
100,2,8.1,8.1,0
,,47.5,8.1,
,,85.7,8.1,
,,123.9,8.1,
,,160.2,8.1,
,,219,8.2,
,,256,17.2,
,,,32,
,,,57.2,
,,,73.3,
,,,91.5,
,,,107.8,
,,,103.3,
,,,101.4,
,,,101,
,,,99.3,
,,,92.7,
,,,86.5,
,,,77.1,
,,,72.4,
,,,68.4,
,,,58.3,
,,,52.2,
,,,50.4,
,,,46.2,
,,,41,
,,,35.5,
,,,32.5,
,,,29.4,
,,,27.4,
,,,24.3,
,,,22.7,
,,,22,
,,,19.3,
,,,19,
,,,17.4,
,,,17.1,
,,,16.7,
,,,15.9,
,,,13.4,
,,,13.2,
,,,13,
,,,12.7,
,,,12.2,
,,,11.8,
,,,11.2,
,,,10.8,
,,,10.5,
,,,10.3,
,,,10,
,,,9.8,
,,,9.5,
,,,9.4,
,,,9.3,
,,,9.2,
,,,9,
,,,8.9,
,,,8.8,
,,,8.7,
,,,8.7,
,,,8.6,
,,,8.5,
,,,8.5,
,,,8.5,
,,,8.4,
,,,8.4,
,,,8.2,
,,,8.2,
,,,8.2,
,,,8.2,
,,,8.2,
,,,8.2,
,,,8.2,
,,,8.2,
,,,8.2,
,,,8.2,
,,,8.2,
,,,8.2,
,,,8.2,
,,,8.2,
,,,8.2,
,,,8.1,
