Slug Injection,,Time,1:02:00 PM,
WLR,104a,Date,26/8/14,
Team,"Vivek Ravi,Susan,Shiva,Kamal,Sendil",,,
Conductivity meter,ECTester 11+(08),,time interval 5 sec.,
Trial,2,,ec background 6.4,
saltgm,standardgm,eccalib,ecdata,Stage
100,2,6.6,6.6,0
,,44.3,6.6,
,,82.8,6.6,
,,119.1,6.6,
,,154.7,6.6,
,,190.1,6.6,
,,251,6.6,
,,,6.6,
,,,6.6,
,,,7,
,,,7.1,
,,,32.1,
,,,40,
,,,49,
,,,51.2,
,,,60.2,
,,,56.6,
,,,47.3,
,,,40.2,
,,,38.1,
,,,31.1,
,,,25.7,
,,,22.5,
,,,20.6,
,,,18.4,
,,,17.1,
,,,15.5,
,,,14.3,
,,,13.2,
,,,12.3,
,,,11.5,
,,,10.8,
,,,10.2,
,,,9.9,
,,,9.4,
,,,9,
,,,8.7,
,,,8.4,
,,,8.3,
,,,8,
,,,7.8,
,,,7.7,
,,,7.6,
,,,7.4,
,,,7.3,
,,,7.3,
,,,7.2,
,,,7.1,
,,,7.1,
,,,7,
,,,6.9,
,,,6.9,
,,,6.9,
,,,6.9,
,,,6.8,
,,,6.8,
,,,6.8,
,,,6.8,
,,,6.7,
,,,6.7,
,,,6.7,
,,,6.7,
,,,6.7,
,,,6.7,
,,,6.7,
,,,6.7,
,,,6.7,
,,,6.7,
,,,6.7,
,,,6.7,
,,,6.6,
,,,6.6,
,,,6.6,
