1-Wire/iButton Part Number: DS1923
1-Wire/iButton Registration Number: 9F0000003370BA41
Mission in Progress?  true
SUTA Mission?  false
Waiting for Temperature Alarm?  false
Sample Rate:  Every 900 second(s)
Mission Start Time:  Wed Oct 07 11:00:01 IST 2015
Mission Sample Count:  2014
Roll Over Enabled?  true(no rollover occurred)
First Sample Timestamp:  Wed Oct 07 11:00:01 IST 2015
Total Mission Samples:  2014
Total Device Samples:  35805
Temperature Logging:  0.5 C
Temperature High Alarm:  disabled
Temperature Low Alarm:  disabled
Data Logging:  0.6 %RH
Data High Alarm:  disabled
Data Low Alarm:  disabled

Date/Time,Unit,Value
10/7/15 11:00:01 AM,C,21.624
10/7/15 11:15:01 AM,C,18.12
10/7/15 11:30:01 AM,C,18.12
10/7/15 11:45:01 AM,C,17.619
10/7/15 12:00:01 PM,C,18.12
10/7/15 12:15:01 PM,C,17.619
10/7/15 12:30:01 PM,C,18.12
10/7/15 12:45:01 PM,C,19.121
10/7/15 1:00:01 PM,C,18.12
10/7/15 1:15:01 PM,C,18.621
10/7/15 1:30:01 PM,C,17.119
10/7/15 1:45:01 PM,C,18.12
10/7/15 2:00:01 PM,C,17.619
10/7/15 2:15:01 PM,C,15.115
10/7/15 2:30:01 PM,C,18.12
10/7/15 2:45:01 PM,C,17.619
10/7/15 3:00:01 PM,C,17.119
10/7/15 3:15:01 PM,C,19.121
10/7/15 3:30:01 PM,C,17.619
10/7/15 3:45:01 PM,C,15.616
10/7/15 4:00:01 PM,C,17.619
10/7/15 4:15:01 PM,C,16.117
10/7/15 4:30:01 PM,C,15.616
10/7/15 4:45:01 PM,C,16.117
10/7/15 5:00:01 PM,C,15.616
10/7/15 5:15:01 PM,C,16.117
10/7/15 5:30:01 PM,C,14.113
10/7/15 5:45:01 PM,C,14.113
10/7/15 6:00:01 PM,C,13.612
10/7/15 6:15:01 PM,C,13.612
10/7/15 6:30:01 PM,C,13.111
10/7/15 6:45:01 PM,C,13.612
10/7/15 7:00:01 PM,C,13.612
10/7/15 7:15:01 PM,C,13.612
10/7/15 7:30:01 PM,C,13.111
10/7/15 7:45:01 PM,C,13.111
10/7/15 8:00:01 PM,C,13.111
10/7/15 8:15:01 PM,C,13.111
10/7/15 8:30:01 PM,C,13.111
10/7/15 8:45:01 PM,C,13.111
10/7/15 9:00:01 PM,C,13.111
10/7/15 9:15:01 PM,C,13.111
10/7/15 9:30:01 PM,C,13.111
10/7/15 9:45:01 PM,C,13.111
10/7/15 10:00:01 PM,C,13.111
10/7/15 10:15:01 PM,C,12.61
10/7/15 10:30:01 PM,C,13.111
10/7/15 10:45:01 PM,C,13.111
10/7/15 11:00:01 PM,C,12.61
10/7/15 11:15:01 PM,C,12.61
10/7/15 11:30:01 PM,C,12.109
10/7/15 11:45:01 PM,C,12.61
10/8/15 12:00:01 AM,C,12.61
10/8/15 12:15:01 AM,C,12.61
10/8/15 12:30:01 AM,C,12.61
10/8/15 12:45:01 AM,C,12.61
10/8/15 1:00:01 AM,C,13.111
10/8/15 1:15:01 AM,C,12.61
10/8/15 1:30:01 AM,C,12.109
10/8/15 1:45:01 AM,C,12.109
10/8/15 2:00:01 AM,C,12.109
10/8/15 2:15:01 AM,C,12.109
10/8/15 2:30:01 AM,C,12.109
10/8/15 2:45:01 AM,C,12.109
10/8/15 3:00:01 AM,C,12.61
10/8/15 3:15:01 AM,C,12.61
10/8/15 3:30:01 AM,C,12.61
10/8/15 3:45:01 AM,C,12.109
10/8/15 4:00:01 AM,C,12.109
10/8/15 4:15:01 AM,C,12.109
10/8/15 4:30:01 AM,C,12.109
10/8/15 4:45:01 AM,C,12.109
10/8/15 5:00:01 AM,C,12.109
10/8/15 5:15:01 AM,C,12.109
