stn,log.type,log.id
101,wlr,101
101,tbrg,102
101,tbrg,119
101,bs,110
101,bs,115
102,wlr,102
102,flume,112
102,tbrg,102
102,tbrg,119
102,bs,110
102,bs,115
102,tbrg,111
102,bs,122
105,wlr,105
105,tbrg,102
105,tbrg,119
105,bs,110
105,bs,115
105,tbrg,111
105,bs,122
105,wlr,105a
114,wlr,114
114,tbrg,102
114,tbrg,119
114,bs,110
114,bs,115
114,tbrg,111
114,bs,122
114,bs,113
114,tbrg,115
114,tbrg,108
114,bs,108
114,tbrg,134
114,wl,102
103,wlr,103
103,wlr,103a
103,tbrg,103
103,bs,102
103,bs,123
103,tbrg,109
103,flume,113
104,wlr,104
104,tbrg,103
104,bs,102
104,bs,123
104,tbrg,109
104,wlr,104a
106,wlr,106
106,wlr,106a
106,tbrg,103
106,bs,102
106,bs,123
106,tbrg,109
106,tbrg,110
106,bs,111
106,flume,111
107,wlr,107
107,tbrg,113
107,bs,101
107,tbrg,116
107,bs,107
107,tbrg,120
107,bs,106
107,flume,110
107,tbrg,129
107,wl,103
108,wlr,108
108,wlr,108a
108,tbrg,125
108,tbrg,132
108,bs,121
108,tbrg,126
108,tbrg,130
108,bs,103
108,wl,104
108,wl,105
109,wlr,109
109,tbrg,125
109,tbrg,132
109,bs,121
109,tbrg,126
109,tbrg,130
109,bs,103
109,wl,104
109,wl,105
109,tbrg,112
109,bs,117
109,tbrg,101
109,bs,109
109,wl,101
115,wlr,115
115,tbrg,133
115,tbrg,106
115,bs,114
115,tbrg,105
115,bs,104
